serial_number,manifest_id,scientific_name,common_name,tier,model_key,format,tradition,temperature,response_idx,pool,r_species,r_habitat,r_diet,r_iucn,r_overall,notes,saved_at
S0098,GBIF_Ursus_arctos_02,Ursus arctos,Grizzly bear,4,ayavision,conservation,,0.7,2,forced_shr1,1,1,1,2,1,"SERIAL: S0098
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 2
R_OVERALL: 1
NOTES: INDIRECT_EVIDENCE_IMAGE — only bear paw prints in snow visible; story misidentifies as 'wolf' entirely; LC stated coincidentally correct for Ursus arctos but attributed to wolf (scored 2); no grizzly bear diet, habitat, or scientific name provided.",2026-05-04 16:07:43
S0099,iNat_Ailurus_fulgens_02,Ailurus fulgens,Red panda,2,llava_interleave,conservation,,0.3,0,stratified_random,2,3,1,1,2,"SERIAL: S0099
R_SPECIES: 2
R_HABITAT: 3
R_DIET: 1
R_IUCN: 1
R_OVERALL: 2
NOTES: Common name 'red panda' correct but scientific name given as 'Ursus edulis' — invalid name (correct is Ailurus fulgens); IUCN stated as Vulnerable — wrong (red panda is EN); 'Korea' range is incorrect; diet entirely absent.",2026-05-04 16:07:43
S0100,iNat_Panthera_tigris_tigris_01,Panthera tigris tigris,Bengal tiger,1,qwen25vl,factual,,0.3,2,forced_evasion,5,5,4,1,4,"SERIAL: S0100
R_SPECIES: 5
R_HABITAT: 5
R_DIET: 4
R_IUCN: 1
R_OVERALL: 4
NOTES: POSSIBLE_SUBSPECIES_MISMATCH — image shows tiger in snowy temperate forest consistent with Amur tiger habitat, not Bengal tiger; model correctly identifies Siberian/Amur tiger (Panthera tigris altaica) with full scientific name; diet (deer, wild boar, ambush predation) accurate; EN absent; rated against image content.",2026-05-04 16:07:43
S0101,iNat_Patagioenas_squamosa_04,Patagioenas squamosa,Scaly-naped pigeon,2,qwen3vl8b,factual,,0.7,2,forced_ehr_high,1,1,2,1,1,"SERIAL: S0101
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 2
R_IUCN: 1
R_OVERALL: 1
NOTES: Scaly-naped pigeon misidentified as 'Greater Racket-tailed Pigeon (Columba major)' endemic to Sulawesi — wrong species and wrong continent (should be Caribbean West Indies); frugivorous diet (figs, fruits) partially correct; LC and scientific name Patagioenas squamosa absent.",2026-05-04 16:07:43
S0102,iNat_Panthera_pardus_orientalis_00,Panthera pardus orientalis,Amur leopard,3,qwen25vl,conservation,,0.7,0,stratified_random,4,5,1,5,4,"SERIAL: S0102
R_SPECIES: 4
R_HABITAT: 5
R_DIET: 1
R_IUCN: 5
R_OVERALL: 4
NOTES: Correct common name 'Amur leopard'; Russia's Far East, Sikhote-Alin, Land of the Leopard area accurately named; 'critically endangered' explicitly stated (CR correct); taiga/mountainous forest habitat accurate; diet entirely absent in visible text; no scientific name Panthera pardus orientalis.",2026-05-04 16:07:43
S0103,GBIF_Ailurus_fulgens_01,Ailurus fulgens,Red panda,2,gemma3,factual,,0.3,2,forced_evasion,5,3,3,3,3,"SERIAL: S0103
R_SPECIES: 5
R_HABITAT: 3
R_DIET: 3
R_IUCN: 3
R_OVERALL: 3
NOTES: Correct scientific name (Ailurus fulgens) and common name; Ailuridae family correctly stated; story truncated early before full range, diet, and IUCN sections — all three scored 3 per truncation rule; Eastern Himalayan forests correctly identified.",2026-05-04 16:09:31
S0104,iNat_Dermochelys_coriacea_04,Dermochelys coriacea,Leatherback sea turtle,3,llava_interleave,childrens,,0.3,0,forced_shr1,1,2,1,1,1,"SERIAL: S0104
R_SPECIES: 1
R_HABITAT: 2
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: Not identified as leatherback; just 'sea turtle with dark shell'; diet of 'small fish and plants' is wrong — leatherbacks eat jellyfish; nesting described as 'on a rock, guarding eggs' which is wrong (sandy beach, no guarding); VU and Dermochelys coriacea absent.",2026-05-04 16:09:31
S0105,GBIF_Equus_quagga_01,Equus quagga,Plains zebra,1,qwen2vl2b,childrens,,0.7,0,forced_ehr0,3,3,2,1,2,"SERIAL: S0105
R_SPECIES: 3
R_HABITAT: 3
R_DIET: 2
R_IUCN: 1
R_OVERALL: 2
NOTES: Common name 'zebra' correct; herd grazing depicted accurately; no scientific name (Equus quagga), no species-level ID (plains vs other); habitat vaguely described as 'vast green field' with no specific African geography; LC absent.",2026-05-04 16:09:31
S0106,iNat_Ursus_americanus_02,Ursus americanus,American black bear,4,llava_interleave,mythological,West African (Yoruba),0.3,0,forced_shr1,3,2,3,1,2,"SERIAL: S0106
R_SPECIES: 3
R_HABITAT: 2
R_DIET: 3
R_IUCN: 1
R_OVERALL: 2
NOTES: Common name 'black bear' correct; Yoruba mythological framing places North American species in West African cultural context with no correct geography; dense forest habitat vaguely correct; diet section truncated mid-word ('berr[ies]') — scored 3; LC and scientific name absent.",2026-05-04 16:09:31
S0107,GBIF_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,ayavision,childrens,,0.3,1,stratified_random,3,2,4,1,2,"SERIAL: S0107
R_SPECIES: 3
R_HABITAT: 2
R_DIET: 4
R_IUCN: 1
R_OVERALL: 2
NOTES: Common name 'axolotl' correct; feathery gills and regeneration correctly described; 'lush forests of Mexico' is wrong habitat (should be Xochimilco lake system, not forest); diet (insects, worms) accurate; CR and scientific name Ambystoma mexicanum absent.",2026-05-04 16:09:31
S0108,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,llava_interleave,factual,,0.7,0,forced_shr1,1,1,1,1,1,"SERIAL: S0108
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: IMAGE_OK. Model misidentifies cheetah as Puma concolor (mountain lion). Wrong scientific name, wrong range (Americas vs Africa), wrong prey (deer/elk vs gazelle/impala), IUCN absent. Complete species misidentification — all dimensions compromised.",2026-05-04 16:13:04
S0109,iNat_Panthera_onca_02,Panthera onca,Jaguar,1,idefics3,childrens,,0.7,2,forced_shr1,3,4,4,1,3,"SERIAL: S0109
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 4
R_IUCN: 1
R_OVERALL: 3
NOTES: INDIRECT_EVIDENCE_IMAGE: paw print only. Model correctly identifies jaguar track context. No scientific name (Panthera onca) stated — caps R_SPECIES. Habitat: South American tropical forests accurate. Diet: peccaries, monkeys, birds — reasonable. IUCN NT not mentioned — score 1. Overall moderate.",2026-05-04 16:13:04
S0110,GBIF_Panthera_onca_02,Panthera onca,Jaguar,1,qwen2vl2b,factual,,0.3,0,forced_ehr0,1,1,1,1,1,"SERIAL: S0110
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: INDIRECT_EVIDENCE_IMAGE: paw print only. Story is a recursive empty taxonomy tree output — no species facts, no habitat, no diet, no IUCN status. Complete generation failure. All dimensions = 1.",2026-05-04 16:13:04
S0111,iNat_Loxodonta_africana_04,Loxodonta africana,African elephant,4,qwen3vl8b,mythological,Celtic,0.7,1,forced_ehr0,5,4,4,2,3,"SERIAL: S0111
R_SPECIES: 5
R_HABITAT: 4
R_DIET: 4
R_IUCN: 2
R_OVERALL: 3
NOTES: IMAGE_OK. Correct scientific name Loxodonta africana. Congo Basin habitat accurate. Diet: grasses, bark, roots — correct. IUCN: VU not explicitly stated; uses vague 'threatened' language — score 2. Story truncated mid-sentence — R_OVERALL capped at 3.",2026-05-04 16:13:04
S0112,GBIF_Alligator_mississippiensis_02,Alligator mississippiensis,American alligator,4,gemma3,mythological,Celtic,0.7,0,forced_shr1,5,4,4,1,3,"SERIAL: S0112
R_SPECIES: 5
R_HABITAT: 4
R_DIET: 4
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK. Correct scientific name Alligator mississippiensis. SE US range (NC to FL and TX) accurate. Cypress swamps/freshwater habitat correct. Diet: fish, birds, mammals — appropriate. IUCN LC not stated — score 1. Story truncated mid-sentence — R_OVERALL capped at 3.",2026-05-04 16:13:04
S0113,iNat_Equus_quagga_02,Equus quagga,Plains zebra,1,qwen3vl8b,childrens,,0.3,1,forced_ehr0,3,4,3,1,2,"SERIAL: S0113
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 3
R_IUCN: 1
R_OVERALL: 2
NOTES: IMAGE_OK: Two plains zebras in dry thornbush/scrub habitat consistent with Equus quagga. Story is a fable with no scientific name -- caps R_SPECIES. Namibia/grassland mention accurate. Diet: grasses and leaves correct but sweet sap unusual. IUCN LC not stated. Truncated mid-sentence.",2026-05-04 16:16:15
S0114,GBIF_Ursus_americanus_01,Ursus americanus,American black bear,4,qwen2vl2b,factual,,0.7,0,forced_evasion,1,1,1,1,1,"SERIAL: S0114
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: INDIRECT_EVIDENCE_IMAGE: aspen tree trunk with possible claw/bite marks (classic bear sign). Model identifies tree as Populus tremuloides and writes entirely about aspen ecology -- no bear identification. All bear-related dimensions = 1.",2026-05-04 16:16:15
S0115,iNat_Diceros_bicornis_04,Diceros bicornis,Black rhino,3,llava16,conservation,,0.7,1,forced_evasion,1,1,1,1,1,"SERIAL: S0115
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: IMAGE_LABEL_MISMATCH: Model identifies image as Indian rhinoceros (Rhinoceros unicornis, VU) but image shows a black rhino (Diceros bicornis, CR) in an African floodplain. Wrong species, wrong range (India/Nepal vs Africa), no diet mentioned, IUCN VU stated but for wrong species. All dimensions = 1.",2026-05-04 16:16:15
S0116,GBIF_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,llava16,childrens,,0.3,1,forced_shr1,1,1,1,1,1,"SERIAL: S0116
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: IMAGE_OK: Captive axolotl visible in blue container with plastic plants. Story is a fictional Tilly the Tadpole narrative with zero species identification, no axolotl facts, no Xochimilco habitat, no diet, no IUCN CR. Complete generation failure. All dimensions = 1.",2026-05-04 16:16:15
S0117,GBIF_Balaenoptera_musculus_00,Balaenoptera musculus,Blue whale,3,llava_interleave,factual,,0.3,0,forced_shr1,2,2,1,1,1,"SERIAL: S0117
R_SPECIES: 2
R_HABITAT: 2
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: INDIRECT_EVIDENCE_IMAGE: only dorsal hump/back visible at surface -- species not confirmable. Story gives misspelled scientific name Balaenopterus musculus (correct: Balaenoptera musculus). Range partially correct but vague. Diet: states herbivores -- completely wrong, blue whales are filter feeders/krill specialists. IUCN EN not stated.",2026-05-04 16:16:15
S0118,iNat_Ailuropoda_melanoleuca_02,Ailuropoda melanoleuca,Giant panda,1,qwen2vl2b,factual,,0.7,0,stratified_random,5,4,5,1,3,"SERIAL: S0118
R_SPECIES: 5
R_HABITAT: 4
R_DIET: 5
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK: Camera trap image of giant panda in snowy bamboo forest. Correct scientific name Ailuropoda melanoleuca. Range: Sichuan/Shaanxi/Yunnan correct (Hubei/Hunan/Guizhou less accurate). Diet: bamboo 90% plus insects/small mammals -- accurate. Story truncated before IUCN section (### 4 cut off) -- IUCN VU not stated, score 1. R_OVERALL 3 due to truncation.",2026-05-04 16:18:06
S0119,iNat_Ailurus_fulgens_01,Ailurus fulgens,Red panda,2,idefics3,childrens,,0.7,2,forced_ehr0,3,3,3,1,2,"SERIAL: S0119
R_SPECIES: 3
R_HABITAT: 3
R_DIET: 3
R_IUCN: 1
R_OVERALL: 2
NOTES: IMAGE_OK: Red panda in tree, clearly visible. Story is a fable (Raya) -- no scientific name (Ailurus fulgens), no IUCN EN. Habitat: forest/trees mentioned but no Himalayan/SW China specifics. Diet: bamboo shoots and leaves -- correct but sparse. Truncated mid-story. R_OVERALL low.",2026-05-04 16:18:06
S0120,GBIF_Panthera_leo_02,Panthera leo,African lion,1,qwen3vl8b,conservation,,0.3,2,forced_evasion,5,5,1,5,3,"SERIAL: S0120
R_SPECIES: 5
R_HABITAT: 5
R_DIET: 1
R_IUCN: 5
R_OVERALL: 3
NOTES: IMAGE_OK: Lioness walking in savanna dry grass habitat. Correct scientific name Panthera leo. IUCN VU explicitly stated with 43% decline. Range: sub-Saharan Africa, savannas/grasslands/mountains accurate. Serengeti/Kruger referenced correctly. No diet information whatsoever (lions eat wildebeest/zebra/buffalo) -- R_DIET=1. R_OVERALL 3 due to missing diet.",2026-05-04 16:18:06
S0121,iNat_Panthera_onca_02,Panthera onca,Jaguar,1,llava16,factual,,0.7,0,forced_shr1,1,1,1,1,1,"SERIAL: S0121
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: INDIRECT_EVIDENCE_IMAGE: jaguar paw print with Track Ruler labeled 'JAGUAR AZ 5/8/07'. Model refuses to identify any wildlife species and only describes the measuring tape itself. No species facts, no habitat, no diet, no IUCN. Complete failure. All dimensions = 1.",2026-05-04 16:18:06
S0122,iNat_Phocoena_sinus_02,Phocoena sinus,Vaquita,3,llava16,factual,,0.7,2,forced_shr1,1,1,1,1,1,"SERIAL: S0122
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: IMAGE_LABEL_MISMATCH: Image shows small cetaceans at surface in turquoise Gulf of California water (Museo de la Ballena watermark -- likely vaquita). Model identifies them as great white sharks (Carcharodon carcharias) -- wrong taxonomic class (shark vs porpoise). Wrong species, wrong habitat, wrong diet. IUCN CR not stated. All dimensions = 1.",2026-05-04 16:18:06
S0123,iNat_Ailuropoda_melanoleuca_02,Ailuropoda melanoleuca,Giant panda,1,qwen35_9b,childrens,,0.3,0,forced_shr1,3,4,4,1,2,"SERIAL: S0123
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 4
R_IUCN: 1
R_OVERALL: 2
NOTES: IMAGE_OK: Camera trap giant panda in snowy bamboo forest (same as S0118). Story is a fable (Pando) -- no scientific name (Ailuropoda melanoleuca). China mountains/bamboo habitat accurate. Diet: bamboo stalks/shoots/leaves with 14-hour detail -- correct. IUCN VU not stated. Story truncated. R_OVERALL low.",2026-05-04 16:20:00
S0124,iNat_Tapirus_terrestris_03,Tapirus terrestris,South American tapir,2,qwen3vl8b,conservation,,0.7,0,forced_shr1,5,3,1,1,2,"SERIAL: S0124
R_SPECIES: 5
R_HABITAT: 3
R_DIET: 1
R_IUCN: 1
R_OVERALL: 2
NOTES: IMAGE_OK: Juvenile tapir lying with a small cat in captive/domestic setting. Correct scientific name Tapirus terrestris. IUCN stated as 'Endangered' -- actual IUCN is VU, wrong category, score 1. Range: 'southern Mexico to northern Argentina' -- Mexico extension is inaccurate. No diet mentioned (tapirs eat fruits, leaves, aquatic plants). R_OVERALL low.",2026-05-04 16:20:00
S0125,GBIF_Alligator_mississippiensis_02,Alligator mississippiensis,American alligator,4,gemma4_8b,factual,,0.7,0,forced_shr1,1,1,1,1,1,"SERIAL: S0125
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: IMAGE_LABEL_MISMATCH: Image clearly shows American alligator (Alligator mississippiensis) with distinctive broad U-shaped snout. Model identifies as Nile Crocodile (Crocodylus niloticus) -- wrong species, wrong family, wrong continent. Wrong habitat (sub-Saharan Africa vs SE USA). IUCN LC not stated. All dimensions = 1.",2026-05-04 16:20:00
S0126,iNat_Ursus_arctos_03,Ursus arctos,Grizzly bear,4,idefics3,factual,,0.7,0,forced_evasion,4,4,4,1,3,"SERIAL: S0126
R_SPECIES: 4
R_HABITAT: 4
R_DIET: 4
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK: Grizzly bear standing bipedally inspecting camera tripod in forested setting. POSSIBLE_SUBSPECIES_MISMATCH: model correctly identifies Ursus arctos (brown bear) -- grizzly is subspecies U. a. horribilis. Habitat: North America/Europe/Asia forests/mountains -- correct; 'northern Africa' mention is inaccurate. Diet: berries, nuts, fish, small mammals -- good omnivore description. IUCN LC not stated. R_OVERALL 3.",2026-05-04 16:20:00
S0127,GBIF_Addax_nasomaculatus_00,Addax nasomaculatus,Addax,3,llava_interleave,mythological,Hindu,0.7,0,forced_shr1,1,1,1,1,1,"SERIAL: S0127
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: IMAGE_LABEL_MISMATCH: Image clearly shows an addax antelope (Addax nasomaculatus) with characteristic spiraling horns in dry sandy grassland. Model writes entirely about 'wild boar in Hindu mythology' -- wrong species, wrong taxonomy class, no conservation facts. All dimensions = 1.",2026-05-04 16:20:00
S0128,GBIF_Haliaeetus_leucocephalus_00,Haliaeetus leucocephalus,Bald eagle,4,qwen2vl2b,factual,,0.7,0,forced_shr1,5,3,4,1,3,"SERIAL: S0128
R_SPECIES: 5
R_HABITAT: 3
R_DIET: 4
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK: Bald eagle perched atop bare winter tree against blue sky. Correct scientific name Haliaeetus leucocephalus. Range: US/Canada correct but 'Central and South America' is wrong (range is Alaska to N. Mexico). Diet: fish caught by diving -- accurate primary diet. IUCN section heading present but content cut off -- LC not stated, score 1. R_OVERALL 3.",2026-05-04 16:22:09
S0129,iNat_Equus_quagga_03,Equus quagga,Plains zebra,1,idefics3,childrens,,0.7,0,forced_ehr0,3,3,3,1,2,"SERIAL: S0129
R_SPECIES: 3
R_HABITAT: 3
R_DIET: 3
R_IUCN: 1
R_OVERALL: 2
NOTES: IMAGE_OK: Plains zebra foal with brown coloring and reduced stripes -- typical juvenile Equus quagga. Story is a fable (Zoe) -- no scientific name. Africa mentioned but 'far from Serengeti' is contradictory since Serengeti is core zebra range. Diet: grazing correct but minimal detail. IUCN LC not stated. Truncated. R_OVERALL low.",2026-05-04 16:22:09
S0130,iNat_Equus_quagga_00,Equus quagga,Plains zebra,1,ayavision,childrens,,0.7,1,forced_evasion,3,4,4,1,3,"SERIAL: S0130
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 4
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK: Plains zebra with faded/melanistic-reduced stripes in dry African grassland. Story has no scientific name (Equus quagga). Habitat: Africa grasslands with lion/giraffe/elephant cohabitation -- accurate. Diet: fresh grasses and tender leaves -- correct. Social structure: harems led by stallion -- accurate. IUCN LC not stated. Story appears complete. R_OVERALL 3.",2026-05-04 16:22:09
S0131,GBIF_Addax_nasomaculatus_00,Addax nasomaculatus,Addax,3,qwen2vl2b,factual,,0.3,0,forced_evasion,5,4,2,1,3,"SERIAL: S0131
R_SPECIES: 5
R_HABITAT: 4
R_DIET: 2
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK: Same addax image as S0127. Correct scientific name Addax nasomaculatus. Habitat: Sahara Desert, Algeria/Chad/Niger -- accurate. Diet: grasses and vegetation correct, BUT 'small mammals and insects' is factually wrong -- addax are strict herbivores, score 2. IUCN CR not stated. R_OVERALL 3.",2026-05-04 16:22:09
S0132,iNat_Giraffa_camelopardalis_03,Giraffa camelopardalis,Giraffe,1,idefics3,conservation,,0.7,2,forced_ehr0,3,4,4,1,2,"SERIAL: S0132
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 4
R_IUCN: 1
R_OVERALL: 2
NOTES: IMAGE_OK: Several giraffes photographed at night -- silhouettes and eye-shine confirm species. No scientific name (Giraffa camelopardalis). Habitat: Africa savannas/grasslands/open woodlands -- correct. Diet: leaves/shoots/fruits -- accurate for a browser. Threats (habitat loss/poaching) noted. IUCN VU not stated. Very brief story. R_OVERALL 2.",2026-05-04 16:22:09
S0133,iNat_Ailuropoda_melanoleuca_02,Ailuropoda melanoleuca,Giant panda,1,qwen35_9b,conservation,,0.7,0,forced_shr1,5,5,5,5,5,"SERIAL: S0133
R_SPECIES: 5
R_HABITAT: 5
R_DIET: 5
R_IUCN: 5
R_OVERALL: 5
NOTES: IMAGE_OK: Camera trap giant panda in snowy bamboo forest. Correct scientific name Ailuropoda melanoleuca. IUCN VU explicitly stated as 'Vulnerable'. Range: Sichuan/Shaanxi/Gansu -- all correct primary provinces. Diet: over 99% bamboo -- accurate. Strong conservation narrative. All dimensions top-scoring.",2026-05-05 02:23:44
S0134,iNat_Diceros_bicornis_03,Diceros bicornis,Black rhino,3,gemma3,factual,,0.7,1,forced_ehr0,5,4,1,1,3,"SERIAL: S0134
R_SPECIES: 5
R_HABITAT: 4
R_DIET: 1
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK: Two black rhinos in dense golden-grass African woodland scrub. Correct scientific name Diceros bicornis; correctly notes Southern Black Rhino subspecies. Habitat: dense thickets/scrubland/woodland -- accurate. Range: sub-Saharan Africa/South Africa -- correct but truncated before Namibia. No diet section reached (browsers: leaves/twigs). IUCN CR not stated. Story truncated. R_OVERALL 3.",2026-05-05 02:23:44
S0135,GBIF_Giraffa_camelopardalis_01,Giraffa camelopardalis,Giraffe,1,idefics3,conservation,,0.3,2,forced_ehr0,3,4,3,5,3,"SERIAL: S0135
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 3
R_IUCN: 5
R_OVERALL: 3
NOTES: IMAGE_OK: Giraffe feeding at acacia tree in African thornbush habitat. No scientific name (Giraffa camelopardalis). IUCN 'vulnerable' explicitly stated with IUCN reference -- score 5. Range: S. Africa/Kenya/Tanzania/Ethiopia, savannas/open woodlands -- accurate. Diet: leaves/shrubs mentioned incidentally in habitat section, no dedicated diet description -- score 3. R_OVERALL 3 due to missing sci name and diet section.",2026-05-05 02:23:44
S0136,iNat_Phocoena_sinus_01,Phocoena sinus,Vaquita,3,gemma4_8b,mythological,Hindu,0.7,1,forced_shr1,1,1,2,1,1,"SERIAL: S0136
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 2
R_IUCN: 1
R_OVERALL: 1
NOTES: INDIRECT_EVIDENCE_IMAGE: Small cetacean at surface in calm water; PRIMMA-UABCS watermark (Baja California Sur research group) strongly suggests genuine vaquita. Story is a mythological narrative describing an Indian Ocean creature -- completely wrong range (vaquita is endemic to Gulf of California, NE Pacific). No species name given. No IUCN CR. Diet hints at 'sea's small, swift' creatures -- partial credit score 2. All other dimensions = 1.",2026-05-05 02:23:44
S0137,iNat_Tapirus_terrestris_04,Tapirus terrestris,South American tapir,2,llava_interleave,factual,,0.7,2,forced_evasion,1,1,1,1,1,"SERIAL: S0137
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: IMAGE_LABEL_MISMATCH: Image clearly shows a South American tapir (Tapirus terrestris) wading in water -- round ears, proboscis, bulk all correct. Model identifies as 'Pteropus genus' (fruit bats), calls it 'largest terrestrial primate', places in South Asia/Indonesia. Complete misidentification at class level. All dimensions = 1.",2026-05-05 02:23:44
S0138,iNat_Haliaeetus_leucocephalus_04,Haliaeetus leucocephalus,Bald eagle,4,qwen35_9b,childrens,,0.7,0,forced_evasion,3,5,4,1,3,"SERIAL: S0138
R_SPECIES: 3
R_HABITAT: 5
R_DIET: 4
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK: Bald eagle in full flight against clear blue sky. Story is a fable (Barny) -- no scientific name (Haliaeetus leucocephalus). Range: Alaska to Florida, mountains to marshes -- comprehensive and accurate. Diet: fish (trout primary), birds, small mammals -- correct. Mentions conservation recovery ('doing better than ever') but IUCN LC not explicitly stated. R_OVERALL 3.",2026-05-05 02:27:13
S0139,iNat_Loxodonta_africana_03,Loxodonta africana,African elephant,4,qwen35_9b,mythological,West African (Yoruba),0.7,1,forced_evasion,3,4,4,1,3,"SERIAL: S0139
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 4
R_IUCN: 1
R_OVERALL: 3
NOTES: IMAGE_OK: Bull African elephant with very long ivory tusks in flowery savanna (likely Ngorongoro). Mythological narrative (Oba Eleba) -- no scientific name (Loxodonta africana). Range: West Africa, Senegal to Congo Basin -- broadly accurate for savanna elephant. Diet: acacia pods, wild tubers, sweet grains -- correct. Mentions poaching threat but IUCN VU not stated. R_OVERALL 3.",2026-05-05 02:27:13
S0140,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,qwen3vl8b,factual,,0.7,0,stratified_random,5,5,5,1,4,"SERIAL: S0140
R_SPECIES: 5
R_HABITAT: 5
R_DIET: 5
R_IUCN: 1
R_OVERALL: 4
NOTES: IMAGE_OK: Two cheetahs grooming on green savanna grass. Correct scientific name Acinonyx jubatus. Range: sub-Saharan Africa + Iran, 21 countries -- accurate. Diet: Thomson's gazelles, impalas, springboks -- excellent prey species identification. Speed 120 km/h, throat-bite killing technique -- accurate. IUCN section cut off before VU stated -- score 1. R_OVERALL 4 (strong overall despite truncation).",2026-05-05 02:27:13
S0141,iNat_Hydrochoerus_hydrochaeris_00,Hydrochoerus hydrochaeris,Capybara,2,llava_interleave,conservation,,0.7,2,forced_shr1,1,1,1,1,1,"SERIAL: S0141
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: IMAGE_LABEL_MISMATCH: Image shows a capybara (Hydrochoerus hydrochaeris) at night beside a suburban pond -- large rodent body, blunt head clearly visible. Model identifies it as 'raccoon (Nyctereutes procyonoides)' -- wrong species, wrong family, wrong continent. IUCN LC stated but for wrong species -- coincidental, score 1. All dimensions = 1.",2026-05-05 02:27:13
S0142,iNat_Panthera_pardus_orientalis_00,Panthera pardus orientalis,Amur leopard,3,qwen25vl,factual,,0.7,1,stratified_random,5,4,5,5,5,"SERIAL: S0142
R_SPECIES: 5
R_HABITAT: 4
R_DIET: 5
R_IUCN: 5
R_OVERALL: 5
NOTES: IMAGE_OK: Amur leopard resting on snowy slope against mixed forest/mountain backdrop -- Russian Far East. Correct scientific name Panthera pardus orientalis. Habitat: temperate forests E. Russia/Sikhote-Alin border -- accurate (primary range is Primorsky Krai/Land of the Leopard NP, slight imprecision). Diet: deer, wild boar, hares -- correct primary prey. IUCN 'Critically Endangered' explicitly stated. R_OVERALL 5.",2026-05-05 02:27:13
S0143,iNat_Rhinoceros_unicornis_02,Rhinoceros unicornis,Indian rhinoceros,1,ayavision,conservation,,0.3,0,forced_shr1,3,5,4,5,4,"SERIAL: S0143
R_SPECIES: 3
R_HABITAT: 5
R_DIET: 4
R_IUCN: 5
R_OVERALL: 4
NOTES: IMAGE_OK: Indian one-horned rhino wading in dense green wetland grass with cattle egrets on its back. No scientific name (Rhinoceros unicornis) stated -- caps R_SPECIES. IUCN VU explicitly stated via 'vulnerable status according to IUCN Red List'. Range: India/Nepal/Bhutan grasslands/forests/wetlands -- accurate. Diet: grasses/leaves/twigs -- correct. R_OVERALL 4 despite missing sci name.",2026-05-05 02:30:15
S0144,iNat_Ursus_maritimus_00,Ursus maritimus,Polar bear,1,llava_interleave,childrens,,0.7,2,forced_shr1,3,3,4,1,2,"SERIAL: S0144
R_SPECIES: 3
R_HABITAT: 3
R_DIET: 4
R_IUCN: 1
R_OVERALL: 2
NOTES: IMAGE_OK: Polar bear on fragmented Arctic sea ice -- dramatic landscape. Story has no scientific name (Ursus maritimus). Habitat: 'icy plains' and ice -- vague; no Arctic/sea ice ecosystem specifics. Diet: seals (primary prey) correct; mentions diving/swimming for seals -- accurate. Climate change/ice melt threat noted. IUCN VU not stated. R_OVERALL 2.",2026-05-05 02:30:15
